Id,Solo_danos,Herido,Muerto,Direccion,Latitud,Longitud,Dia,Mes,A_o,Choque,Atropello,Volcamiento,caida de ocupante,Otro,Rural,Urbana,Masculino,Femenino,<18,18-30,31-60,>60,Tipo_vehiculo,Publico,Particular,Oficial,Diplomatico
709,,1,,"CALARCA - BARCELONA ENTRADA FINCA MENEDEZ,Calarcá,Quindio",4.4811343,-75.6982223,31,08,2024,1,,,,,1,,1,2,,1,2,,CAMIONETA - MOTOCICLETA,,2,,
710,,1,,"KM 83+250 URIBE - CALARCA,Calarcá,Quindio",4.5266936,-75.6409574,04,09,2024,1,,,,,1,,2,1,,1,2,,AUTOMOVIL- MOTOCICLETA,,2,,
711,,1,,"VIA LA ESPANOLA BARRAGAN KM 12+004,73 MTS,Calarcá,Quindio",4.47897,-75.69908,05,09,2024,1,,,,,1,,2,,,2,,,MOTOCICLETA ,,2,,
712,,1,,"CALARCA - BARCELONA FRENTE FINCA PRADO,Calarcá,Quindio",4.4811343,-75.6982223,08,09,2024,1,,,,,1,,2,,,2,,,BICICLETA-MOTOCICLETA,,2,,
713,,1,,"AVENIDA COLON ENTRE CLLS 21 Y 22 CALARCA,Calarcá,Quindio",4.5220769,-75.648097,09,09,2024,1,,,,,,1,3,,1,,2,,MOTOCICLETA- MOTOCICLETA,,2,,
714,,1,,"CARRERA 22 CON CALLE 34,Calarcá,Quindio",4.5265022,-75.6402996,09,09,2024,1,,,,,,1,1,1,,1,1,,MOTOCICLETA-MOTOCICLETA,,2,,
715,,1,,"CRA 25 CALLE 31+37,Calarcá,Quindio",4.5256293,-75.6429047,09,09,2024,1,,,,,,1,,1,,1,,,MOTOCICLETA,,1,,
716,,1,,"KM 85+750 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.524984,-75.637193,12,09,2024,1,,,,,,1,2,,,,1,1,CAMION - BICICLETA,1,1,,
717,,1,,"VARIANTE CALE 44 FRENTE 15+51,Calarcá,Quindio",4.4805728,-75.6440842,13,09,2024,1,,,,,1,,2,,,1,1,,CAMPERO-MOTOCICLETA,,2,,
718,,1,,"URIBE-CALARCA KM 84+068,Calarcá,Quindio",4.5095461,-75.6565342,14,09,2024,1,,,,,1,,2,,,,2,,TRACTOCAMIÓN-CAMIONETA,,2,,
719,,1,,"VIA VIA ARMENIA–IBAGUE KM 5+200,Calarcá,Quindio",4.526676,-75.63466,16,09,2024,1,,,,,1,,2,,,,2,,MOTOCICLETA - MOTOCICLETA,,2,,
720,,1,,"VIA LA URIBE–CALARCA KM 77+550,Calarcá,Quindio",4.518925,-75.644783,17,09,2024,1,,,,,,1,1,,,,,,AUTOMOVIL,,1,,
721,,1,,"VIA LA URIBE -* CALARCA 83+050,Calarcá,Quindio",4.522921,-75.641993,17,09,2024,1,,,,,1,,2,2,1,1,2,,MOTOCICLETA - MOTOCICLETA,,2,,
